:cast-frequencies-:cast-100+,:cast-frequencies-:cast-5+,:cast-frequencies-:cast-10+,:cast-frequencies-:cast-0,:cast-frequencies-:cast-1+,:cast-frequencies-:cast-2+,:cast-frequencies-:cast-50+,:cast-frequencies-:cast-25+,:cast-frequencies-:cast-lwa-100+,:cast-frequencies-:cast-lwa-25+,:num-signups,:cast-frequencies-:cast-lwa-50+,:week
0,47,16,98,136,92,0,2,0,2,234,0,"June 5, 2023"
3,30,22,44,62,49,3,11,2,8,106,2,"May 29, 2023"
0,31,22,83,88,60,6,10,0,9,171,5,"May 22, 2023"
7,82,45,116,168,135,9,16,7,16,284,9,"May 15, 2023"
1,37,23,69,80,61,3,8,1,7,149,2,"May 8, 2023"
5,45,20,63,94,69,7,8,4,7,157,6,"May 1, 2023"
2,58,33,56,114,91,4,12,2,6,170,2,"April 24, 2023"
6,47,32,66,92,76,11,17,6,13,158,11,"April 17, 2023"
8,81,57,116,179,125,14,26,6,16,295,11,"April 10, 2023"
5,92,52,90,150,120,12,28,5,18,240,10,"April 3, 2023"
4,97,65,82,191,142,9,27,3,12,273,6,"March 27, 2023"
7,68,48,91,139,99,11,25,6,12,230,8,"March 20, 2023"
6,83,54,100,166,129,13,28,5,15,266,7,"March 13, 2023"
14,114,73,136,210,171,22,37,13,25,346,17,"March 6, 2023"
9,156,109,198,296,238,18,46,5,15,494,9,"February 27, 2023"
6,67,49,97,121,97,17,22,3,11,218,8,"February 20, 2023"
9,106,72,178,219,166,16,36,9,16,397,14,"February 13, 2023"
4,72,50,52,113,94,14,22,3,8,165,6,"February 6, 2023"
16,132,103,68,209,179,29,49,11,16,277,14,"January 30, 2023"
9,72,52,41,118,99,18,26,7,13,159,10,"January 23, 2023"
8,85,62,36,132,109,20,38,5,12,168,9,"January 16, 2023"
12,59,47,22,88,81,20,28,9,15,110,11,"January 9, 2023"
5,47,32,20,77,63,9,21,3,6,97,4,"January 2, 2023"
8,42,34,15,65,53,14,19,6,11,80,10,"December 26, 2022"
6,66,47,21,100,88,13,23,4,7,121,6,"December 19, 2022"
18,154,116,50,234,203,38,66,10,28,284,20,"December 12, 2022"
20,126,96,31,179,155,41,55,14,27,210,23,"December 5, 2022"
11,102,77,29,141,123,26,44,6,11,170,10,"November 28, 2022"
20,159,133,39,234,203,44,77,12,24,273,19,"November 21, 2022"
50,266,199,70,367,329,80,128,30,42,437,37,"November 14, 2022"
12,82,60,14,110,99,23,35,8,14,124,12,"November 7, 2022"
40,183,148,22,228,206,69,102,30,48,250,41,"October 31, 2022"
25,161,120,31,213,187,49,74,16,23,244,22,"October 24, 2022"
34,179,137,34,249,230,55,74,15,24,283,22,"October 17, 2022"
39,240,189,33,300,277,73,111,17,34,333,28,"October 10, 2022"
25,157,125,30,204,187,48,88,13,26,234,21,"October 3, 2022"
53,196,155,38,243,224,84,108,30,39,281,36,"September 26, 2022"
33,105,94,13,131,117,49,71,17,22,144,19,"September 19, 2022"
21,84,70,17,116,104,31,45,13,16,133,15,"September 12, 2022"
18,63,54,8,82,73,32,43,10,13,90,12,"September 5, 2022"
24,78,66,13,99,90,34,51,14,16,112,15,"August 29, 2022"
13,47,42,5,54,50,20,27,5,7,59,7,"August 22, 2022"
14,38,32,6,46,43,21,26,10,12,52,12,"August 15, 2022"
24,48,45,4,59,54,28,37,14,19,63,17,"August 8, 2022"
10,35,29,4,43,41,15,20,4,4,47,4,"August 1, 2022"
10,39,31,1,41,41,18,21,7,10,42,10,"July 25, 2022"
13,42,35,3,51,49,21,26,6,7,54,7,"July 18, 2022"
15,75,65,12,85,83,30,50,8,18,97,12,"July 11, 2022"
12,27,24,3,31,28,16,23,5,7,34,6,"July 4, 2022"
6,19,18,2,21,20,8,14,5,5,23,5,"June 27, 2022"
9,32,30,1,38,35,13,19,3,7,39,4,"June 20, 2022"
15,41,34,2,52,47,19,24,10,15,54,14,"June 13, 2022"
6,17,12,0,22,22,8,10,1,1,22,1,"June 6, 2022"
18,38,35,1,44,42,22,29,9,11,45,10,"May 30, 2022"
4,10,10,2,13,11,6,7,3,3,15,3,"May 23, 2022"
10,22,20,1,24,23,11,11,4,4,25,4,"May 16, 2022"
1,3,3,0,3,3,2,3,0,0,3,0,"May 9, 2022"
1,1,1,0,1,1,1,1,0,0,1,0,"May 2, 2022"
6,16,15,1,18,17,8,12,4,4,19,4,"April 25, 2022"
0,0,0,0,1,0,0,0,0,0,1,0,"April 11, 2022"
3,4,4,0,5,4,3,3,2,2,5,2,"April 4, 2022"
5,12,12,1,17,14,8,10,2,3,18,3,"March 28, 2022"
4,14,12,0,15,15,6,7,0,0,15,0,"March 21, 2022"
0,2,1,0,2,2,0,0,0,0,2,0,"March 14, 2022"
0,2,2,2,3,3,1,1,0,0,5,0,"March 7, 2022"
8,13,12,0,15,15,9,9,5,5,15,5,"February 28, 2022"
3,11,10,0,13,11,6,7,2,3,13,3,"February 21, 2022"
10,17,15,0,18,17,11,13,7,7,18,7,"February 14, 2022"
3,8,6,0,11,10,3,5,2,2,11,2,"February 7, 2022"
3,7,6,0,8,8,5,5,0,0,8,0,"January 31, 2022"
2,4,4,0,4,4,3,4,1,1,4,1,"January 24, 2022"
1,4,4,0,4,4,1,2,0,1,4,0,"January 17, 2022"
1,2,2,0,3,3,1,1,1,1,3,1,"January 10, 2022"
9,16,13,2,17,17,9,10,5,5,19,5,"January 3, 2022"
2,4,4,0,4,4,2,4,1,1,4,1,"December 20, 2021"
9,23,21,0,26,25,13,18,5,5,26,5,"December 13, 2021"
14,19,18,0,21,20,15,18,9,10,21,9,"December 6, 2021"
4,8,7,0,9,8,6,7,3,4,9,3,"November 29, 2021"
4,5,5,0,7,7,4,4,2,2,7,2,"November 22, 2021"
8,17,14,0,19,19,9,10,1,1,19,1,"November 15, 2021"
4,11,11,0,11,11,4,8,2,2,11,2,"November 8, 2021"
3,5,4,0,5,5,3,4,2,3,5,2,"November 1, 2021"
0,1,1,0,2,2,1,1,0,0,2,0,"October 25, 2021"
0,1,1,0,3,1,0,0,0,0,3,0,"October 18, 2021"
4,10,10,0,11,10,6,6,2,2,11,2,"October 11, 2021"
2,7,5,0,7,7,5,5,1,1,7,1,"October 4, 2021"
4,10,9,1,10,10,5,7,4,4,11,4,"September 27, 2021"
3,12,11,0,14,12,5,8,0,0,14,0,"September 20, 2021"
8,24,20,0,25,24,13,15,3,6,25,6,"September 13, 2021"
11,14,13,2,14,14,13,13,5,5,16,5,"September 6, 2021"
5,11,9,0,12,12,7,8,3,4,12,4,"August 30, 2021"
5,13,12,0,15,14,8,11,3,3,15,3,"August 23, 2021"
5,19,17,0,20,20,12,14,2,2,20,2,"August 16, 2021"
6,15,13,0,16,16,9,11,6,6,16,6,"August 9, 2021"
7,20,19,0,23,22,10,15,4,6,23,5,"August 2, 2021"
3,7,6,0,8,8,5,5,0,1,8,1,"July 26, 2021"
1,2,2,0,2,2,2,2,0,0,2,0,"July 19, 2021"
1,3,3,0,3,3,2,2,0,1,3,1,"July 12, 2021"
2,2,2,0,2,2,2,2,1,1,2,1,"July 5, 2021"
1,2,2,0,2,2,1,2,0,1,2,0,"June 14, 2021"
1,3,3,0,3,3,1,3,1,1,3,1,"June 7, 2021"
2,4,3,0,4,4,2,3,2,2,4,2,"May 31, 2021"
4,5,5,0,5,5,4,5,3,3,5,3,"May 10, 2021"
